Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Germany,31.09121192,43.01279886,61.31152895,90.36877947,178.805977,324.4136879,489.9064435,745.989121,1124.878249,1779.490326,3992.452705,5908.850469,6738.740075,4563.900321,2551.620208,,46.69225313,100.6839864,28624.8319,28725.51589
Ghana,413.469634,429.2253182,515.9364293,701.036851,904.1650062,958.9927541,1284.154553,1573.398773,1837.835484,2141.151473,1865.672905,1763.967735,904.1938042,360.4850624,130.4428101,,6676.282937,7888.055784,15784.12859,23672.18437
Greece,6.110034665,9.888424662,15.45416313,23.63230736,35.39300986,51.19194293,81.22032885,115.8455677,167.9929378,297.1489467,600.8932285,1448.421492,2003.525236,1336.645354,537.0696971,,20.54301099,33.66084614,6730.432672,6764.093518
Greenland,0.062406543,0.100591954,0.137265847,0.194442496,0.435277519,0.888928254,1.014819737,1.164157587,1.175961819,1.670426848,2.054386817,2.443362836,2.486211062,1.1841699,0.532264072,,0.392656038,0.478175369,15.54467329,16.02284866
Grenada,0.46479095,0.617099844,0.682410682,0.911194294,1.386352648,1.920733332,2.818079941,3.367027814,4.972237673,7.418340288,8.375471606,6.866342904,7.191391096,5.016181196,3.628041213,,3.499055598,4.627381075,55.63569548,60.26307656
Guam,0.683989099,0.814211914,1.100287418,0.948015418,1.100703105,2.0347928,2.356443713,2.793069603,3.119692293,2.357058803,3.034118872,4.191389055,4.522219421,4.403714462,1.926796623,,5.884208413,7.533629346,35.3865026,42.92013195
Guatemala,184.1692269,175.6231974,194.1141022,200.6321953,222.639017,273.2858839,345.9145253,421.1408602,557.768738,734.0396462,897.4965144,1371.929234,1249.436885,578.7942423,91.78527726,,3409.127642,4012.543002,7498.769545,11511.31255
Guinea,189.3782613,184.2178741,183.3851757,234.2286097,301.2468177,412.3303564,522.5418259,704.575836,841.9253536,1025.166227,1052.539578,1024.835028,668.252095,344.4010223,118.7817244,,11029.90458,11993.72384,7807.805785,19801.52963
Guinea-Bissau,36.18521348,37.9208383,40.85631027,48.49202004,62.3802863,76.38775129,92.56746087,107.4971152,117.153726,130.6167303,112.8278752,86.93086537,46.77712191,17.76045495,6.046689387,,554.8182859,669.120852,1020.400459,1689.521311
Guyana,5.631476178,6.527865571,8.673790429,11.15579088,13.97028506,18.14470576,20.19301845,22.64806872,26.66259582,27.59556809,31.91646065,38.18439716,31.83905774,27.15830072,8.617911476,,40.70284161,54.08775779,298.9192927,353.0070505
Haiti,116.2473262,136.4981886,152.6756966,166.4363481,183.9200768,210.8509961,270.3384318,339.8438892,393.8100306,472.1742907,525.2457751,537.3556371,380.12501,173.3727347,54.01818544,,4455.804637,4895.0442,4112.912617,9007.956817
Honduras,16.35563903,16.41432825,22.99909691,29.76053406,39.46463595,49.66059343,64.92826759,88.18727503,114.3920551,148.7077723,186.6215025,185.2003983,146.4412516,71.82101246,25.05468328,,409.529307,468.4402505,1206.009046,1674.449297
Hungary,6.227849374,8.31397455,14.15441673,21.87251884,33.07528393,40.9560082,56.37703364,98.64470946,108.3312353,139.2605928,175.2732231,240.3540474,251.1918748,179.6425839,71.03575199,,23.51142901,36.91027229,1444.711104,1481.621376
Iceland,0.242366766,0.268988335,0.379438395,0.565363309,0.725608342,1.1264659,1.685349135,2.553227191,3.72453439,5.402129557,7.946401328,16.83468808,28.50566111,27.08902115,22.86829159,,0.451310626,0.925395397,119.9175346,120.84293
India,3103.745711,3600.823583,4713.699946,5803.573129,7156.88281,12071.46185,16817.95429,27994.12707,40215.13615,51425.71138,50752.59838,53255.18911,26077.97276,11331.40049,2406.799803,,181631.004,197759.57,316727.0765,514486.6465
Indonesia,379.1243637,428.9392411,610.6985343,786.115999,1040.794712,1451.632338,1976.854814,3282.346811,4075.005583,5475.68806,6052.464855,6131.28591,4541.235302,1922.062257,592.4963948,,13531.12081,14967.35397,38746.74517,53714.09914
Iran (Islamic Republic of),150.9629645,194.2637992,208.9602204,202.4473343,227.852927,278.8967923,399.020278,560.50759,598.1982077,804.2950709,1253.796169,1792.56763,1725.130049,1019.773287,365.7369507,,1009.26891,1465.135248,9782.40927,11247.54452
Iraq,82.12802825,80.950809,93.58570821,111.8228084,146.2133112,140.8462718,159.2519156,204.6781255,218.4905185,266.4495257,271.3941255,255.6317019,219.8188382,134.8788566,58.06682108,,1744.941792,2222.686537,2444.207365,4666.893902
