Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Ghana,0,0,0,29.52765865,12.14429507,25.33352462,47.56153469,47.26204262,150.2987214,278.7346282,444.5477818,531.7900572,732.1625824,974.8323619,750.2667466,785.8535561,597.5034152,291.5938131,120.0081431,36.5705849,,5814.319494,5855.991447
Greece,0,0,0,0.07091037,0.131875107,0.204318858,0.7720738,1.560150095,3.61435291,10.72908423,23.51153095,44.46377326,73.0331896,114.6289933,168.4024,228.0587327,294.269544,239.4530063,113.5632659,33.0632754,,1349.327691,1349.530477
Greenland,0,0,0,0.000588462,0.00185618,0.004541214,0.026866688,0.035950719,0.054690907,0.157652648,0.451941155,0.672070347,0.815389244,0.775798051,0.786218591,0.756162216,0.560439603,0.395056611,0.134771188,0.02433568,,5.651884862,5.654329504
Grenada,0,0,0,0.0666296,0.111397104,0.134068845,0.293303535,0.420697593,0.731750332,1.994158412,3.844235686,5.6985974,7.690036982,10.42152977,12.06291044,12.70132864,8.106724915,4.49310502,2.63602556,1.131444304,,72.35991744,72.53794414
Guam,0,0,0,0.018482226,0.026353583,0.060306639,0.170522624,0.409842547,0.878746083,1.8247199,4.018795633,4.945915972,5.713522106,6.144036911,5.279213264,4.337031196,3.994590552,3.640243094,2.11219704,1.141552057,,44.67123562,44.71607143
Guatemala,0,0,0,9.898928684,17.31444841,31.08778962,71.18834536,129.2596941,201.7506762,340.3951438,481.1594097,626.712648,762.6018954,832.9868233,748.8860244,656.6773991,781.0535512,473.2323355,160.6792403,21.89170065,,6319.562677,6346.776054
Guinea,0,0,0,12.50353877,6.989390836,10.5569781,12.60298962,15.13325591,34.26030354,70.89159369,121.4219538,144.1927152,218.1078598,286.5795001,245.9375884,249.5524049,211.4810282,120.5174063,67.91070611,21.04856162,,1830.194845,1849.687775
Guinea-Bissau,0,0,0,2.433184109,1.339951225,2.408757223,3.23678769,4.064536154,9.253236543,18.26107656,26.39293152,30.23631637,38.91470667,46.36803067,37.40490416,33.74362586,24.28509798,10.84843186,4.35251044,1.182677239,,290.9536269,294.7267623
Guyana,0,0,0,0.770113171,1.66488927,2.036496991,3.450324555,5.057833964,10.63841272,24.71300396,44.87036665,66.84415377,82.72456172,85.30911487,68.87124626,58.60283109,41.92600595,23.18439148,13.62845191,4.320856667,,536.1780525,538.613055
Haiti,0,0,0,9.273702033,13.23179464,16.43704211,33.01513961,49.08230874,82.58263633,183.7523346,296.5633954,419.1684151,547.8452729,610.5826007,545.5525258,466.7317151,339.136096,147.0408238,53.55317346,12.98988534,,3804.033365,3826.538862
Honduras,0,0,0,2.437919271,2.836369605,4.932026979,8.538391419,13.09981171,24.5582061,49.1596159,76.47414825,107.1822681,134.4311812,152.7291415,164.0608899,151.6931765,102.0331966,47.71870024,19.60511888,5.066960514,,1061.282834,1066.557123
Hungary,0,0,0,0.111511049,0.210077656,0.543248752,1.776523442,2.862350648,6.915292728,29.50078578,55.69161169,96.60710654,192.8375209,292.4592746,357.9949643,464.9738443,429.918909,307.3146727,123.0587325,29.63560704,,2392.090445,2392.412034
Iceland,0,0,0,0.001011416,0.002117906,0.004250404,0.015805536,0.027193607,0.04665296,0.213459226,0.394013869,0.730682247,1.311885314,1.872167317,2.719793306,3.426098278,4.295293493,4.169813303,3.231522676,1.977801079,,24.43643261,24.43956194
India,0,0,0,203.58852,275.7216607,405.4403508,1039.624662,1464.347172,3288.866697,7640.730355,14307.29891,20526.27339,31571.7602,37288.89097,37849.99686,39885.11094,35860.63789,18301.84462,7590.908308,1426.113274,,258447.8446,258927.1548
Indonesia,0,0,0,130.8729293,181.4352844,288.19511,710.6068114,1534.197389,3309.886381,6965.200188,10623.60748,14163.39554,15536.71831,13491.73966,10894.98737,9342.758605,6452.747185,3502.761902,1250.814027,299.463302,,98367.07927,98679.38748
Iran (Islamic Republic of),0,0,0,7.022153259,9.254047891,17.17891059,40.41277962,72.25589036,119.3878681,294.4686875,629.4957222,1036.710518,1672.612825,1871.867408,1934.171871,2113.985761,2093.582968,1445.488477,625.0768947,207.8802731,,14174.57685,14190.85306
Iraq,0,0,0,21.26717145,36.23988726,45.70241022,67.86935414,99.58701149,182.9254606,447.2496684,654.3856842,919.359931,1199.614254,1299.31894,1304.2535,1115.977979,799.0549678,501.888725,248.3210269,94.66816168,,8980.177075,9037.684134
Ireland,0,0,0,0.033185898,0.060108422,0.126412467,0.411900261,0.67674875,0.988394293,3.457639749,5.398513823,9.948211551,16.06855103,27.90717493,52.28339551,78.41165781,98.73059931,100.9701042,59.77250667,24.39571034,,479.5475206,479.640815
Israel,0,0,0,0.098162415,0.201226262,0.449864845,1.348951798,2.910567798,6.443944424,22.04919016,44.2750294,74.83056378,125.3779487,215.7144762,317.1468757,327.4228469,461.2200213,442.5819378,347.3862672,203.8514507,,2593.009937,2593.309325
Italy,0,0,0,0.324153919,0.602687117,1.143251552,4.537977046,9.61819672,23.39582205,97.81910694,229.3087,419.2090245,714.0520268,1191.4329,1962.2641,2957.801763,4247.211836,4607.306084,3144.922482,1508.017268,,21118.04054,21118.96738
Jamaica,0,0,0,0.88378242,1.903908399,2.864553173,6.889621194,8.937151661,17.59061863,44.60984701,85.38623231,136.6408459,194.6898536,248.7330622,322.0484412,339.0295638,327.2242421,279.0570125,184.0742793,141.2687825,,2339.044107,2341.831798
Japan,0,0,0,0.657820899,1.30676709,2.192796863,7.457563322,14.08941064,30.32059349,109.4872941,150.9692392,210.5527173,315.0753132,538.6767052,858.7667454,1126.492012,1383.656003,1538.105413,1336.56975,915.0693902,,8537.480946,8539.445534
Jordan,0,0,0,1.546157234,1.713961307,2.746011341,5.292346573,8.893554996,19.81357113,55.41460557,114.3344803,166.8061167,224.255427,285.6864507,333.7831299,338.2309627,242.9749058,122.2516084,54.91322206,21.8249225,,1997.221316,2000.481434
Kazakhstan,0,0,0,1.060931398,2.129090983,4.086753567,8.082481993,10.04278911,14.29877708,55.6584191,97.71000453,228.5786636,357.4519155,459.5897014,359.0036487,390.2782274,328.4310059,76.01768319,39.69115906,5.035066699,,2433.956297,2437.146319
Kenya,0,0,0,10.64657815,17.21857618,15.53883006,40.83315945,75.11714362,119.4384937,273.3537807,460.7448886,579.5300274,771.9948309,731.3384371,853.1820242,744.4262627,570.306281,303.2445614,138.2263351,32.84068997,,5710.115746,5737.9809
Kiribati,0,0,0,0.145176544,0.416804525,0.767001367,1.490257652,2.98658615,6.909403214,11.14664584,17.80955945,23.08571519,22.58674184,18.13556745,13.57436617,7.790683868,3.852617905,2.374217493,0.60619282,0.106406775,,133.2219632,133.7839443
Kuwait,0,0,0,0.2579095,0.57902698,0.786745854,2.37287584,3.320429406,5.839788703,11.91777941,20.11995301,24.0808566,30.79663167,31.74987427,47.64821479,39.80906253,44.75659895,45.91425896,29.66522128,14.77559923,,353.5538905,354.390827
Kyrgyzstan,0,0,0,0.47169902,0.727788655,1.3748855,2.21669612,2.881320043,5.043894298,14.34957687,24.4749681,48.37558495,57.83119303,57.93951266,26.12642249,21.87486668,14.80170976,8.427190782,5.997485261,1.187264516,,292.902571,294.1020587
Lao People's Democratic Republic,0,0,0,4.289602109,6.061928915,9.408744769,17.40810067,23.76582279,38.33878387,70.21845693,114.2906744,161.8025164,200.7166297,201.7122323,177.463717,170.907915,130.8384907,72.70517477,29.763857,9.563335582,,1428.904452,1439.255983
Latvia,0,0,0,0.087166569,0.163403311,0.511975001,1.238771033,1.502993673,1.999616875,5.783878842,10.16183349,15.74726833,25.10655849,35.4114367,43.19759246,57.11981078,59.32934206,39.06337653,20.51959392,5.427230282,,322.1212785,322.3718483
Lebanon,0,0,0,0.275847387,0.429135639,0.857834017,1.885564486,2.814895507,5.353535363,14.9221831,29.4444793,42.46180093,54.1062799,103.2238575,145.7694132,151.3041874,126.9620188,86.95098001,42.22895872,11.83969948,,820.1256876,820.8306707
Lesotho,0,0,0,2.42039136,2.500354956,2.50595712,3.813595858,8.504913492,19.26706486,39.38846027,75.80327214,123.7189326,211.623229,234.5130635,206.5962921,153.9247937,89.33506975,44.68404723,14.03092341,2.982559602,,1230.692175,1235.612921
Liberia,0,0,0,3.990171898,2.526368066,3.552946491,4.57754503,5.936964343,15.56828502,34.81339374,43.25054288,48.17856466,63.41567091,81.78426318,70.72045602,75.7654593,67.91969198,38.68201248,20.25771035,6.43445331,,580.8579597,587.3744996
Libya,0,0,0,0.412830205,0.750561289,1.139312001,3.336605678,6.711355653,15.02384264,40.45476976,61.20294875,76.89016923,106.7549325,114.7931028,110.2865741,109.8653579,79.93272309,58.74176243,33.55111596,14.35540154,,833.039974,834.2033655
Lithuania,0,0,0,0.03535195,0.06784516,0.234545094,0.570547084,0.841499275,1.024459869,6.559620476,8.5590645,13.89736386,22.2232433,27.77492181,29.52421538,36.09647625,34.75012181,21.25160361,11.37634134,2.761093431,,217.4451171,217.5483142
Luxembourg,0,0,0,0.003395196,0.007158356,0.01489607,0.059071502,0.092284815,0.144532795,0.583386718,1.112733288,1.857082265,3.152052019,4.34783979,6.352687984,9.160187489,12.0995073,12.00402653,8.841854871,4.495875874,,64.31801931,64.32857286
North Macedonia,0,0,0,0.037791208,0.103125797,0.183387099,0.504352543,1.08790422,2.073131712,9.971488688,22.17147441,47.6588665,88.54117116,150.468537,187.6936288,229.6259012,170.7574687,76.17430767,13.27382055,0.842204637,,1001.027645,1001.168562
Madagascar,0,0,0,7.092486459,11.06819324,10.43142813,22.35897945,41.47799661,68.24517182,143.6739867,237.1012121,314.1206561,417.8411867,339.2958959,340.7429874,266.5739417,205.5812778,112.583017,51.18982793,11.29860017,,2582.516166,2600.676845
Malawi,0,0,0,6.044289233,8.41940438,6.473704697,16.70343339,27.60354685,43.3512624,99.65026516,157.4826492,193.5714491,294.5719137,317.1208811,372.2253778,313.3956038,228.6554703,118.9354249,64.25397086,16.80620739,,2270.801161,2285.264854
