Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Djibouti,4.421091863,4.65288746,5.88399372,7.25260774,9.473975152,11.5443914,14.21391074,20.42446764,22.85942928,26.17077448,26.69909055,21.53915666,11.92498673,4.685960001,1.606980885,,189.9589119,205.7222138,193.3537043,399.0759181
Dominica,0.108292577,0.13853387,0.155027959,0.173130332,0.262528893,0.387106749,0.529380126,0.77095634,1.075038885,1.684909528,2.766360361,4.166143761,3.998292,2.626294972,1.185246699,,1.093428695,1.371560287,20.02724305,21.39880334
Dominican Republic,19.8701609,23.67163569,24.38926624,30.06602371,36.1660526,44.66055293,48.76744568,68.10094978,79.16717902,114.6475737,121.9610937,161.6395387,225.5505418,130.2264205,63.15709574,,215.4508616,271.4693221,1192.041531,1463.510853
Ecuador,41.20008464,43.02957426,53.62350348,55.38290655,68.98269597,96.08498431,115.121326,155.125734,213.4385022,291.7784227,415.9048294,555.1729102,712.0300383,589.8710068,157.9532513,,518.8948768,678.7859768,3564.69977,4243.485747
Egypt,210.2242482,211.2079364,230.8647116,246.7123633,357.4940919,537.7735315,770.022191,1143.126719,1138.52368,1107.869374,1028.139884,898.6733062,548.1590778,189.1190964,53.10070317,,5020.717786,6122.070974,8671.010915,14793.08189
El Salvador,14.31999422,16.71195902,20.48645522,23.97581242,31.38319259,38.79854071,49.94822329,64.83810041,83.99790174,127.655635,167.201015,211.8427055,259.1558143,159.0129396,154.8778335,,87.53577755,125.4011688,1424.206123,1549.607292
Equatorial Guinea,3.87095534,3.829669209,3.819094485,4.263834938,5.405209988,6.438094626,8.165298322,12.4395944,14.32836925,20.17618558,26.88650417,25.34204908,16.91519649,7.302195473,2.927143057,,47.13603678,60.43125592,162.1093944,222.5406503
Eritrea,43.68762476,42.87557537,53.57598232,75.41908001,91.50261013,113.2183689,132.2772646,159.1854703,150.0393022,158.6113822,168.017583,122.6896065,64.80854741,20.36498223,5.116856841,,1000.46215,1162.225283,1401.390237,2563.61552
Estonia,0.990271571,2.029544475,2.847337035,4.217614023,6.585827355,8.135472796,13.09357122,14.32439176,14.68058681,10.36311613,19.19522197,22.15074744,25.03047682,18.26069425,4.956906537,,2.646138578,4.004771938,166.8617802,170.8665521
Eswatini,9.037015517,10.60806251,13.36386601,16.4589155,18.04805467,20.9287409,21.4565885,29.91730143,30.03021074,29.53956424,28.39630684,21.84862476,11.42308499,4.169977676,1.198476752,,173.4803038,203.9221733,266.424791,470.3469643
Ethiopia,425.9435473,398.4983728,445.5828393,536.5674506,615.2983932,765.8074567,984.5413151,1474.643855,1827.728985,2549.546801,3143.610979,2881.873037,1721.443037,675.0549956,224.2137794,,17300.31792,19218.16579,18670.35485,37888.52064
Fiji,3.541069465,3.576254808,4.608279375,3.802114083,4.666186282,7.293650848,9.012029172,10.75503964,10.15329083,10.37983267,11.73030956,11.69288232,8.335726092,3.214005564,0.590693989,,33.830904,45.57424999,103.3513647,148.9256147
Finland,0.470137127,0.640630675,0.937939816,1.322184706,2.201811455,4.580003533,8.542992412,14.33018633,26.49464243,36.63205113,50.72451914,88.89846641,114.545921,110.6705423,65.57507189,,0.773535098,1.668128909,526.5671004,528.2352293
France,9.437646903,13.81883833,22.62275706,33.91848508,63.08234648,94.88968039,181.7827424,277.9904974,422.9805565,563.4305945,960.5498627,2319.424726,4014.33762,4477.086952,2580.822475,,26.68195765,42.48649384,16036.17578,16078.66227
Gabon,5.770696949,6.226555284,7.529019506,10.29595737,14.64084199,20.42775785,27.22383647,37.21056725,35.14058958,41.69972542,52.81225467,55.59416035,40.35243068,18.51579091,7.097795061,,54.14940849,69.9245946,380.5379794,450.462574
Gambia,11.11630402,10.48171688,12.5183097,14.325545,18.03029794,25.38953133,32.32496081,43.98844105,57.73197142,77.10853707,103.7688838,100.9723621,52.50705128,19.14921424,6.367671886,,227.7886197,267.0372626,585.7807986,852.8180612
Georgia,4.893139948,5.841249726,7.061444513,10.92882172,14.59793841,20.11721333,31.58906666,43.09088272,49.22049226,48.2257728,115.3207003,103.0676816,62.23498256,41.66198083,21.19682808,,29.11730038,40.6557006,579.0481955,619.7038961
Germany,17.75803443,25.29904552,38.09065411,55.08993208,109.8996322,206.7022246,348.7671577,482.2619747,733.8594768,1147.12293,2676.079124,4315.787428,4695.80294,2964.154318,1543.296551,,30.64827699,59.96909103,19359.97142,19419.94051
Ghana,197.7487518,199.5286522,240.6800679,328.040172,432.078497,482.3329731,635.8104202,799.442253,966.966656,1187.016835,1081.072945,1060.849126,526.3341085,207.4202988,70.80374791,,2945.925405,3479.412002,8416.125504,11895.53751
Greece,3.164715479,5.431962435,9.073324974,13.50627667,20.88078071,30.39119112,49.28676067,80.98514655,105.9638202,186.4975377,431.301712,990.3551465,1369.938447,901.051772,320.3951637,,11.15792379,17.99068498,4518.223758,4536.214443
Greenland,0.022192102,0.047153707,0.067656659,0.089948295,0.21363617,0.432205863,0.523242823,0.586509211,0.591003596,0.887902346,1.116980539,1.377624716,1.476191554,0.67218001,0.279413174,,0.174731655,0.207445594,8.383840766,8.59128636
Grenada,0.234974729,0.320167163,0.349015517,0.46155344,0.725559973,1.043694586,1.482276068,2.040413535,2.701082814,4.026408225,5.453807973,4.164893892,4.66328496,3.184836937,2.097575511,,1.688859836,2.239475348,32.94954532,35.18902067
Guam,0.363419888,0.41972381,0.596253481,0.502866194,0.59327742,1.121292988,1.295573182,1.486141613,1.663328467,1.279274894,1.694377599,2.302924435,2.503079746,2.420526197,0.965444084,,3.462337577,4.384272375,19.207504,23.59177638
Guatemala,109.5823616,111.9218057,124.5630463,122.0455135,133.359566,168.5312264,212.4475489,275.8534327,363.9256277,484.7995275,640.2913345,925.8646571,896.5439015,422.9286065,61.6670831,,2000.029466,2384.714655,5054.325239,7439.039894
Guinea,87.84040564,84.79198169,87.17958876,104.0949724,130.7720325,190.8101149,248.595943,349.8047417,430.6250562,535.5421666,569.5744959,552.7271643,373.0659393,189.5922571,62.98140439,,5644.876849,6105.495597,3997.998264,10103.49386
Guinea-Bissau,18.05389803,17.40384057,19.89560731,22.63475962,27.28831235,34.98353949,44.41987732,52.4820396,59.60878151,70.26841129,59.96707858,48.22921736,25.26530335,9.88042437,3.154486126,,239.1075224,293.5700302,513.5355769,807.1056071
Guyana,2.631461676,3.177212124,4.00991413,5.195429327,5.912969445,7.603737999,9.101778556,11.81682653,13.78847279,14.91982399,18.67262327,21.68758071,17.77613229,16.73119395,4.548162353,,18.48350104,25.17545976,157.5733191,182.7487789
Haiti,45.45312183,57.52004125,60.58031675,66.26705974,66.00541624,82.24357792,99.64961947,134.6376189,157.328378,191.0908694,221.2373738,234.4276491,160.4282973,74.25889301,25.1979331,,2517.083305,2708.619482,1676.326166,4384.945648
Honduras,4.013822554,3.86515826,5.656998171,8.41991401,12.39711497,17.74996975,25.21221097,36.45976163,48.28895119,66.76659406,81.833544,87.90485781,72.31130803,35.26763134,12.36235926,,136.6235912,156.3336911,518.510196,674.8438871
Hungary,3.257414197,4.481056254,8.31428256,12.70719547,19.99626004,25.2410341,36.69424481,72.26792421,73.03643052,93.52236827,131.9076916,163.7971278,175.9993025,122.1393572,41.89055491,,13.21519809,20.33433748,985.2522444,1005.586582
